NET,3.55
LWLG,2.84
SNPS,2.84
MU,5.67
AMZN,2.84
GOOG,4.26
NVDA,3.55
IDR.MC,2.13
LDO.MI,2.84
LRCX,3.55
SOFI,2.84
TSM,3.55
IONQ,2.84
RGTI,3.55
TMDX,2.13
ASTS,9.93
RKLB,11.35
ASML,3.55
CAT,3.55
VRT,3.55
AVGO,4.26
FSLY,2.13
VRT,3.55
SLS,2.13
IREN,2.13
APLD,2.84
NBIS,2.05
